ANIO_REPORT;ANIO;CODMES;MES;DIA;COD_PROV;PROV;COD_CANT;CANT;COD_TIPO;TIPO;COD_EST;ESTACION;PM2.5
2021;2005;1;Enero;18;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;16,20
2021;2005;1;Enero;19;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;19,49
2021;2005;1;Enero;20;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;18,57
2021;2005;1;Enero;21;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;23,04
2021;2005;1;Enero;22;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;22,72
2021;2005;1;Enero;23;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;19,35
2021;2005;1;Enero;24;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;14,44
2021;2005;1;Enero;25;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;23,81
2021;2005;1;Enero;26;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;29,21
2021;2005;1;Enero;27;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;23,69
2021;2005;1;Enero;28;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;23,74
2021;2005;1;Enero;29;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;22,41
2021;2005;1;Enero;30;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;22,87
2021;2005;1;Enero;31;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;22,26
2021;2005;1;Enero;1;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;67,24
2021;2005;1;Enero;2;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;54,12
2021;2005;1;Enero;3;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;22,02
2021;2005;1;Enero;4;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;21,44
2021;2005;1;Enero;5;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;15,32
2021;2005;1;Enero;6;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;15,66
2021;2005;1;Enero;7;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;14,96
2021;2005;1;Enero;8;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;16,34
2021;2005;1;Enero;9;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;15,67
2021;2005;1;Enero;10;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;12,42
2021;2005;1;Enero;11;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;12,07
2021;2005;1;Enero;12;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;11,77
2021;2005;1;Enero;13;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;16,56
2021;2005;1;Enero;14;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;22,58
2021;2005;1;Enero;15;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;19,34
2021;2005;1;Enero;16;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;11,51
